time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2015-01-01 00:00:00,0.0,0.0,0.0,-3.46,1.86
2015-01-01 01:00:00,0.0,0.0,0.0,-3.79,1.93
2015-01-01 02:00:00,0.0,0.0,0.0,-3.78,2.21
2015-01-01 03:00:00,0.0,0.0,0.0,-3.57,2.55
2015-01-01 04:00:00,0.0,0.0,0.0,-3.38,2.83
2015-01-01 05:00:00,0.0,0.0,0.0,-3.34,2.97
2015-01-01 06:00:00,0.0,0.0,0.0,-3.38,2.97
2015-01-01 07:00:00,0.0,0.0,0.0,-3.75,2.76
2015-01-01 08:00:00,0.0,0.0,0.0,-4.04,2.55
2015-01-01 09:00:00,0.0,0.0,0.0,-4.27,2.41
2015-01-01 10:00:00,0.0,0.0,0.0,-4.45,2.28
2015-01-01 11:00:00,0.0,0.0,0.0,-4.67,2.0
2015-01-01 12:00:00,0.0,0.0,0.0,-5.03,1.72
2015-01-01 13:00:00,212.48,165.79,46.690000000000005,-5.1,1.52
2015-01-01 14:00:00,557.25,446.26,110.99,-3.38,1.66
2015-01-01 15:00:00,792.03,658.57,133.46,-1.63,2.9
2015-01-01 16:00:00,940.64,794.5,146.14999999999998,-0.37,3.24
2015-01-01 17:00:00,1000.76,849.88,150.89000000000001,0.78,3.38
2015-01-01 18:00:00,973.09,825.26,147.83,1.78,3.66
2015-01-01 19:00:00,856.05,717.59,138.46,2.92,3.86
2015-01-01 20:00:00,650.63,529.61,121.02000000000001,3.12,3.79
2015-01-01 21:00:00,354.92,270.99,83.92999999999999,2.56,3.03
2015-01-01 22:00:00,0.0,0.0,0.0,1.1,2.76
2015-01-01 23:00:00,0.0,0.0,0.0,0.32,2.55
2015-01-02 00:00:00,0.0,0.0,0.0,0.01,2.55
2015-01-02 01:00:00,0.0,0.0,0.0,-0.09,2.55
2015-01-02 02:00:00,0.0,0.0,0.0,-0.67,2.48
2015-01-02 03:00:00,0.0,0.0,0.0,-0.87,2.34
2015-01-02 04:00:00,0.0,0.0,0.0,-1.11,2.14
2015-01-02 05:00:00,0.0,0.0,0.0,-1.23,2.14
2015-01-02 06:00:00,0.0,0.0,0.0,-1.34,2.0
2015-01-02 07:00:00,0.0,0.0,0.0,-0.99,2.0
2015-01-02 08:00:00,0.0,0.0,0.0,-1.17,1.86
2015-01-02 09:00:00,0.0,0.0,0.0,-1.48,1.86
2015-01-02 10:00:00,0.0,0.0,0.0,-1.56,1.86
2015-01-02 11:00:00,0.0,0.0,0.0,-1.87,1.86
2015-01-02 12:00:00,0.0,0.0,0.0,-2.14,1.79
2015-01-02 13:00:00,66.63,38.2,28.43,-2.24,1.66
2015-01-02 14:00:00,274.66,169.87,104.79,-0.11,1.52
2015-01-02 15:00:00,456.9,293.08,163.83,1.72,2.62
2015-01-02 16:00:00,564.34,359.53,204.81,2.62,2.83
2015-01-02 17:00:00,626.95,406.03,220.93,3.64,3.52
2015-01-02 18:00:00,938.39,795.22,143.16,4.18,3.45
2015-01-02 19:00:00,822.88,687.71,135.16,5.0,2.9
2015-01-02 20:00:00,529.93,418.04,111.89,5.02,2.76
2015-01-02 21:00:00,344.45,262.93,81.52,4.25,1.72
2015-01-02 22:00:00,0.0,0.0,0.0,2.65,1.79
2015-01-02 23:00:00,0.0,0.0,0.0,1.16,1.86
2015-01-03 00:00:00,0.0,0.0,0.0,0.16,1.72
2015-01-03 01:00:00,0.0,0.0,0.0,-0.46,1.72
2015-01-03 02:00:00,0.0,0.0,0.0,-1.12,1.66
2015-01-03 03:00:00,0.0,0.0,0.0,-1.68,1.52
2015-01-03 04:00:00,0.0,0.0,0.0,-2.0,1.38
2015-01-03 05:00:00,0.0,0.0,0.0,-2.21,1.24
2015-01-03 06:00:00,0.0,0.0,0.0,-1.73,1.1
2015-01-03 07:00:00,0.0,0.0,0.0,-2.48,1.24
2015-01-03 08:00:00,0.0,0.0,0.0,-2.2,1.59
2015-01-03 09:00:00,0.0,0.0,0.0,-2.49,1.72
2015-01-03 10:00:00,0.0,0.0,0.0,-2.48,1.72
2015-01-03 11:00:00,0.0,0.0,0.0,-2.05,2.0
2015-01-03 12:00:00,0.0,0.0,0.0,-1.27,2.21
2015-01-03 13:00:00,1.76,0.0,1.77,-0.84,2.48
2015-01-03 14:00:00,94.53,17.52,77.01,-0.3,2.55
2015-01-03 15:00:00,55.57,0.0,55.57,-0.35,2.83
2015-01-03 16:00:00,48.51,0.0,48.51,-0.71,2.69
2015-01-03 17:00:00,90.85,0.0,90.85,-0.39,2.21
2015-01-03 18:00:00,89.09,0.0,89.08999999999999,0.09,2.28
2015-01-03 19:00:00,75.85,0.0,75.86,-0.49,2.34
2015-01-03 20:00:00,78.5,0.0,78.5,-0.35,2.55
2015-01-03 21:00:00,25.58,0.0,25.580000000000002,0.01,2.55
2015-01-03 22:00:00,0.0,0.0,0.0,0.32,2.41
2015-01-03 23:00:00,0.0,0.0,0.0,0.65,2.28
2015-01-04 00:00:00,0.0,0.0,0.0,1.01,2.28
2015-01-04 01:00:00,0.0,0.0,0.0,1.39,2.07
2015-01-04 02:00:00,0.0,0.0,0.0,1.76,1.93
2015-01-04 03:00:00,0.0,0.0,0.0,2.14,1.93
2015-01-04 04:00:00,0.0,0.0,0.0,2.52,1.86
2015-01-04 05:00:00,0.0,0.0,0.0,2.85,1.66
2015-01-04 06:00:00,0.0,0.0,0.0,3.1,1.66
2015-01-04 07:00:00,0.0,0.0,0.0,2.55,1.66
2015-01-04 08:00:00,0.0,0.0,0.0,2.86,1.93
2015-01-04 09:00:00,0.0,0.0,0.0,3.23,1.93
2015-01-04 10:00:00,0.0,0.0,0.0,3.66,2.07
2015-01-04 11:00:00,0.0,0.0,0.0,4.36,2.41
2015-01-04 12:00:00,0.0,0.0,0.0,5.44,2.9
2015-01-04 13:00:00,1.76,0.0,1.77,6.32,2.83
2015-01-04 14:00:00,13.23,0.0,13.229999999999999,7.61,2.9
2015-01-04 15:00:00,17.64,0.0,17.64,8.75,3.31
2015-01-04 16:00:00,81.15,0.0,81.14,10.08,3.66
2015-01-04 17:00:00,77.62,0.0,77.62,11.2,3.72
2015-01-04 18:00:00,94.38,0.0,94.36999999999999,12.2,4.07
2015-01-04 19:00:00,83.79,0.0,83.79,10.75,3.52
2015-01-04 20:00:00,59.1,0.0,59.09,11.23,3.31
2015-01-04 21:00:00,45.41,3.99,41.42,10.8,2.69
2015-01-04 22:00:00,0.0,0.0,0.0,10.28,2.55
2015-01-04 23:00:00,0.0,0.0,0.0,9.92,2.97
2015-01-05 00:00:00,0.0,0.0,0.0,9.26,3.86
2015-01-05 01:00:00,0.0,0.0,0.0,7.99,4.48
2015-01-05 02:00:00,0.0,0.0,0.0,6.49,4.76
2015-01-05 03:00:00,0.0,0.0,0.0,4.93,4.97
2015-01-05 04:00:00,0.0,0.0,0.0,3.54,4.55
2015-01-05 05:00:00,0.0,0.0,0.0,2.76,4.76
2015-01-05 06:00:00,0.0,0.0,0.0,2.41,4.97
2015-01-05 07:00:00,0.0,0.0,0.0,2.73,4.97
2015-01-05 08:00:00,0.0,0.0,0.0,2.3,4.83
2015-01-05 09:00:00,0.0,0.0,0.0,1.73,5.03
2015-01-05 10:00:00,0.0,0.0,0.0,1.1,4.9
2015-01-05 11:00:00,0.0,0.0,0.0,0.34,4.76
2015-01-05 12:00:00,0.0,0.0,0.0,-0.4,4.48
2015-01-05 13:00:00,73.23,43.99,29.24,-0.94,4.28
2015-01-05 14:00:00,257.44,153.69,103.75,-1.04,4.69
2015-01-05 15:00:00,621.42,480.39,141.02,-0.75,4.97
2015-01-05 16:00:00,948.87,801.28,147.59,-0.46,5.03
2015-01-05 17:00:00,1018.52,865.68,152.84,-0.48,5.1
2015-01-05 18:00:00,998.49,846.67,151.82,-0.39,5.17
2015-01-05 19:00:00,884.61,741.97,142.63000000000002,-0.94,5.1
2015-01-05 20:00:00,686.66,560.6,126.05,-1.41,4.83
2015-01-05 21:00:00,393.95,302.08,91.88,-2.11,4.41
2015-01-05 22:00:00,0.0,0.0,0.0,-2.92,3.59
2015-01-05 23:00:00,0.0,0.0,0.0,-3.52,3.66
2015-01-06 00:00:00,0.0,0.0,0.0,-4.13,3.52
2015-01-06 01:00:00,0.0,0.0,0.0,-4.53,3.45
2015-01-06 02:00:00,0.0,0.0,0.0,-4.82,3.17
2015-01-06 03:00:00,0.0,0.0,0.0,-5.01,2.9
2015-01-06 04:00:00,0.0,0.0,0.0,-5.21,2.69
2015-01-06 05:00:00,0.0,0.0,0.0,-5.43,2.41
2015-01-06 06:00:00,0.0,0.0,0.0,-5.59,2.0
2015-01-06 07:00:00,0.0,0.0,0.0,-6.62,1.52
2015-01-06 08:00:00,0.0,0.0,0.0,-6.38,1.31
2015-01-06 09:00:00,0.0,0.0,0.0,-6.15,1.31
2015-01-06 10:00:00,0.0,0.0,0.0,-6.2,0.83
2015-01-06 11:00:00,0.0,0.0,0.0,-6.42,0.21
2015-01-06 12:00:00,0.0,0.0,0.0,-6.41,0.83
2015-01-06 13:00:00,15.88,0.0,15.879999999999999,-6.26,1.24
2015-01-06 14:00:00,49.39,0.0,49.39,-5.7,1.79
2015-01-06 15:00:00,57.33,0.0,57.33,-4.93,1.79
2015-01-06 16:00:00,74.09,0.0,74.08999999999999,-4.14,1.86
2015-01-06 17:00:00,81.15,0.0,81.14,-3.3,1.86
2015-01-06 18:00:00,181.43,23.14,158.29,-2.57,2.14
2015-01-06 19:00:00,153.92,20.08,133.84,-3.36,2.0
2015-01-06 20:00:00,61.74,0.0,61.739999999999995,-2.78,2.69
2015-01-06 21:00:00,380.51,293.43,87.08000000000001,-2.87,2.28
2015-01-06 22:00:00,0.0,0.0,0.0,-3.21,1.66
2015-01-06 23:00:00,0.0,0.0,0.0,-4.01,2.07
2015-01-07 00:00:00,0.0,0.0,0.0,-4.54,2.48
2015-01-07 01:00:00,0.0,0.0,0.0,-5.06,2.41
2015-01-07 02:00:00,0.0,0.0,0.0,-5.52,2.21
2015-01-07 03:00:00,0.0,0.0,0.0,-5.91,2.14
2015-01-07 04:00:00,0.0,0.0,0.0,-6.27,2.34
2015-01-07 05:00:00,0.0,0.0,0.0,-6.57,2.41
2015-01-07 06:00:00,0.0,0.0,0.0,-6.67,2.62
2015-01-07 07:00:00,0.0,0.0,0.0,-6.87,2.41
2015-01-07 08:00:00,0.0,0.0,0.0,-6.82,2.69
2015-01-07 09:00:00,0.0,0.0,0.0,-7.19,3.03
2015-01-07 10:00:00,0.0,0.0,0.0,-7.68,3.31
2015-01-07 11:00:00,0.0,0.0,0.0,-8.17,3.38
2015-01-07 12:00:00,0.0,0.0,0.0,-8.68,3.38
2015-01-07 13:00:00,220.75,173.18,47.57,-9.04,3.38
2015-01-07 14:00:00,570.36,456.99,113.36999999999999,-8.53,4.9
2015-01-07 15:00:00,72.33,0.0,72.32000000000001,-7.73,5.52
2015-01-07 16:00:00,132.19,2.13,130.05,-7.01,5.79
2015-01-07 17:00:00,381.59,163.7,217.89,-6.61,6.07
2015-01-07 18:00:00,175.14,20.96,154.19,-6.22,6.21
2015-01-07 19:00:00,478.89,290.92,187.97000000000003,-6.43,5.52
2015-01-07 20:00:00,698.41,570.67,127.74,-6.64,5.17
2015-01-07 21:00:00,409.37,315.31,94.06,-7.26,4.83
2015-01-07 22:00:00,0.0,0.0,0.0,-8.31,4.34
2015-01-07 23:00:00,0.0,0.0,0.0,-9.35,4.48
2015-01-08 00:00:00,0.0,0.0,0.0,-10.19,4.62
2015-01-08 01:00:00,0.0,0.0,0.0,-10.95,4.69
2015-01-08 02:00:00,0.0,0.0,0.0,-11.59,4.69
2015-01-08 03:00:00,0.0,0.0,0.0,-11.91,4.55
2015-01-08 04:00:00,0.0,0.0,0.0,-11.69,4.41
2015-01-08 05:00:00,0.0,0.0,0.0,-11.74,4.14
2015-01-08 06:00:00,0.0,0.0,0.0,-11.85,3.93
2015-01-08 07:00:00,0.0,0.0,0.0,-11.74,3.59
2015-01-08 08:00:00,0.0,0.0,0.0,-11.77,3.17
2015-01-08 09:00:00,0.0,0.0,0.0,-11.81,3.31
2015-01-08 10:00:00,0.0,0.0,0.0,-12.83,3.31
2015-01-08 11:00:00,0.0,0.0,0.0,-12.08,3.24
2015-01-08 12:00:00,0.0,0.0,0.0,-13.22,2.97
2015-01-08 13:00:00,220.52,171.44,49.08,-13.3,2.69
2015-01-08 14:00:00,570.66,457.53,113.14,-12.66,3.45
2015-01-08 15:00:00,806.39,669.74,136.64,-11.67,3.17
2015-01-08 16:00:00,957.07,808.06,149.0,-10.36,3.31
2015-01-08 17:00:00,1021.28,869.22,152.05999999999997,-9.18,3.1
2015-01-08 18:00:00,995.82,845.38,150.45000000000002,-8.15,2.97
2015-01-08 19:00:00,573.47,391.12,182.34,-7.65,2.83
2015-01-08 20:00:00,176.23,60.97,115.25999999999999,-7.26,2.62
2015-01-08 21:00:00,182.01,108.38,73.64,-7.33,2.48
2015-01-08 22:00:00,0.0,0.0,0.0,-7.76,2.28
2015-01-08 23:00:00,0.0,0.0,0.0,-8.25,2.55
2015-01-09 00:00:00,0.0,0.0,0.0,-8.57,2.69
2015-01-09 01:00:00,0.0,0.0,0.0,-8.39,2.55
2015-01-09 02:00:00,0.0,0.0,0.0,-8.18,3.17
2015-01-09 03:00:00,0.0,0.0,0.0,-7.79,3.52
2015-01-09 04:00:00,0.0,0.0,0.0,-7.22,3.66
2015-01-09 05:00:00,0.0,0.0,0.0,-6.82,3.79
2015-01-09 06:00:00,0.0,0.0,0.0,-6.43,3.79
2015-01-09 07:00:00,0.0,0.0,0.0,-6.48,3.24
2015-01-09 08:00:00,0.0,0.0,0.0,-6.08,3.45
2015-01-09 09:00:00,0.0,0.0,0.0,-5.5,3.59
2015-01-09 10:00:00,0.0,0.0,0.0,-5.01,3.72
2015-01-09 11:00:00,0.0,0.0,0.0,-4.78,3.45
2015-01-09 12:00:00,0.0,0.0,0.0,-4.58,3.31
2015-01-09 13:00:00,195.75,151.33,44.42,-4.31,3.38
2015-01-09 14:00:00,52.92,0.0,52.919999999999995,-3.5,2.55
2015-01-09 15:00:00,76.74,0.0,76.74,-2.06,4.76
2015-01-09 16:00:00,109.37,0.0,109.36999999999999,-1.5,5.24
2015-01-09 17:00:00,238.2,53.48,184.72,-0.96,5.79
2015-01-09 18:00:00,214.67,41.57,173.09,-1.0,4.97
2015-01-09 19:00:00,459.35,268.2,191.15,-0.67,4.48
2015-01-09 20:00:00,368.97,229.41,139.56,-0.93,4.07
2015-01-09 21:00:00,410.03,316.1,93.94,-1.86,3.72
2015-01-09 22:00:00,0.0,0.0,0.0,-3.08,3.31
2015-01-09 23:00:00,0.0,0.0,0.0,-4.01,3.17
2015-01-10 00:00:00,0.0,0.0,0.0,-4.71,3.1
2015-01-10 01:00:00,0.0,0.0,0.0,-5.29,3.17
2015-01-10 02:00:00,0.0,0.0,0.0,-5.89,3.45
2015-01-10 03:00:00,0.0,0.0,0.0,-6.62,3.66
2015-01-10 04:00:00,0.0,0.0,0.0,-7.52,3.45
2015-01-10 05:00:00,0.0,0.0,0.0,-8.51,3.66
2015-01-10 06:00:00,0.0,0.0,0.0,-9.5,3.59
2015-01-10 07:00:00,0.0,0.0,0.0,-9.51,3.66
2015-01-10 08:00:00,0.0,0.0,0.0,-10.42,3.72
2015-01-10 09:00:00,0.0,0.0,0.0,-11.41,3.66
2015-01-10 10:00:00,0.0,0.0,0.0,-12.22,3.45
2015-01-10 11:00:00,0.0,0.0,0.0,-12.84,3.24
2015-01-10 12:00:00,0.0,0.0,0.0,-13.28,2.97
2015-01-10 13:00:00,229.41,179.29,50.13,-13.52,2.76
2015-01-10 14:00:00,585.24,469.27,115.97,-12.86,3.1
2015-01-10 15:00:00,826.38,686.87,139.51,-11.57,3.24
2015-01-10 16:00:00,983.36,831.3,152.06,-10.28,2.97
2015-01-10 17:00:00,1049.93,893.2,156.72,-8.98,2.62
