time,poa_direct,poa_sky_diffuse,poa_ground_diffuse,solar_elevation,temp_air,wind_speed,Int,poa_diffuse,poa_global
2015-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,-2.73,2.26,0,0.0,0.0
2015-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,-2.87,2.41,0,0.0,0.0
2015-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,-3.01,2.57,0,0.0,0.0
2015-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,-3.15,2.72,0,0.0,0.0
2015-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,-3.36,2.8,0,0.0,0.0
2015-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,-3.57,2.87,0,0.0,0.0
2015-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,-3.78,2.95,0,0.0,0.0
2015-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,-3.9,2.86,0,0.0,0.0
2015-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,-4.02,2.78,0,0.0,0.0
2015-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,-4.14,2.69,0,0.0,0.0
2015-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,-3.91,2.5,0,0.0,0.0
2015-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,-3.67,2.3,0,0.0,0.0
2015-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,-3.44,2.11,0,0.0,0.0
2015-01-01 13:00:00+00:00,165.79,45.17,1.52,4.09,-2.48,2.77,0,46.690000000000005,212.48
2015-01-01 14:00:00+00:00,446.25,104.96,6.03,12.82,-1.52,3.43,0,110.99,557.24
2015-01-01 15:00:00+00:00,658.56,123.33,10.13,19.88,-0.56,4.08,0,133.46,792.02
2015-01-01 16:00:00+00:00,794.49,133.2,12.95,24.7,0.55,4.42,0,146.14999999999998,940.64
2015-01-01 17:00:00+00:00,849.87,136.77,14.12,26.74,1.67,4.75,0,150.89000000000001,1000.76
2015-01-01 18:00:00+00:00,825.25,134.27,13.56,25.74,2.78,5.09,0,147.83,973.08
2015-01-01 19:00:00+00:00,717.58,127.15,11.31,21.83,2.63,4.36,0,138.46,856.0400000000001
2015-01-01 20:00:00+00:00,529.6,113.43,7.59,15.47,2.49,3.64,0,121.02000000000001,650.62
2015-01-01 21:00:00+00:00,270.98,80.91,3.02,7.26,2.34,2.91,0,83.92999999999999,354.91
