Latitude (decimal degrees):	40.202
Longitude (decimal degrees):	-76.735
Elevation (m):	111
Radiation database:	PVGIS-NSRDB


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150101:0000,0.0,0.0,0.0,0.0,-3.46,1.86,0.0
20150101:0100,0.0,0.0,0.0,0.0,-3.79,1.93,0.0
20150101:0200,0.0,0.0,0.0,0.0,-3.78,2.21,0.0
20150101:0300,0.0,0.0,0.0,0.0,-3.57,2.55,0.0
20150101:0400,0.0,0.0,0.0,0.0,-3.38,2.83,0.0
20150101:0500,0.0,0.0,0.0,0.0,-3.34,2.97,0.0
20150101:0600,0.0,0.0,0.0,0.0,-3.38,2.97,0.0
20150101:0700,0.0,0.0,0.0,0.0,-3.75,2.76,0.0
20150101:0800,0.0,0.0,0.0,0.0,-4.04,2.55,0.0
20150101:0900,0.0,0.0,0.0,0.0,-4.27,2.41,0.0
20150101:1000,0.0,0.0,0.0,0.0,-4.45,2.28,0.0
20150101:1100,0.0,0.0,0.0,0.0,-4.67,2.0,0.0
20150101:1200,0.0,0.0,0.0,0.0,-5.03,1.72,0.0
20150101:1300,165.79,45.17,1.52,4.09,-5.1,1.52,0.0
20150101:1400,446.26,104.96,6.03,12.82,-3.38,1.66,0.0
20150101:1500,658.57,123.33,10.13,19.88,-1.63,2.9,0.0
20150101:1600,794.5,133.2,12.95,24.7,-0.37,3.24,0.0
20150101:1700,849.88,136.77,14.12,26.74,0.78,3.38,0.0
20150101:1800,825.26,134.27,13.56,25.74,1.78,3.66,0.0
20150101:1900,717.59,127.15,11.31,21.83,2.92,3.86,0.0
20150101:2000,529.61,113.43,7.59,15.47,3.12,3.79,0.0
20150101:2100,270.99,80.91,3.02,7.26,2.56,3.03,0.0
20150101:2200,0.0,0.0,0.0,0.0,1.1,2.76,0.0
20150101:2300,0.0,0.0,0.0,0.0,0.32,2.55,0.0
20150102:0000,0.0,0.0,0.0,0.0,0.01,2.55,0.0
20150102:0100,0.0,0.0,0.0,0.0,-0.09,2.55,0.0
20150102:0200,0.0,0.0,0.0,0.0,-0.67,2.48,0.0
20150102:0300,0.0,0.0,0.0,0.0,-0.87,2.34,0.0
20150102:0400,0.0,0.0,0.0,0.0,-1.11,2.14,0.0
20150102:0500,0.0,0.0,0.0,0.0,-1.23,2.14,0.0
20150102:0600,0.0,0.0,0.0,0.0,-1.34,2.0,0.0
20150102:0700,0.0,0.0,0.0,0.0,-0.99,2.0,0.0
20150102:0800,0.0,0.0,0.0,0.0,-1.17,1.86,0.0
20150102:0900,0.0,0.0,0.0,0.0,-1.48,1.86,0.0
20150102:1000,0.0,0.0,0.0,0.0,-1.56,1.86,0.0
20150102:1100,0.0,0.0,0.0,0.0,-1.87,1.86,0.0
20150102:1200,0.0,0.0,0.0,0.0,-2.14,1.79,0.0
20150102:1300,38.2,27.49,0.94,4.08,-2.24,1.66,0.0
20150102:1400,169.87,100.78,4.01,12.83,-0.11,1.52,0.0
20150102:1500,293.08,156.65,7.18,19.91,1.72,2.62,0.0
20150102:1600,359.53,195.47,9.34,24.76,2.62,2.83,0.0
20150102:1700,406.03,210.5,10.43,26.82,3.64,3.52,0.0
20150102:1800,795.22,130.01,13.15,25.84,4.18,3.45,0.0
20150102:1900,687.71,124.21,10.95,21.94,5.0,2.9,0.0
20150102:2000,418.04,105.42,6.47,15.6,5.02,2.76,0.0
20150102:2100,262.93,78.53,2.99,7.39,4.25,1.72,0.0
20150102:2200,0.0,0.0,0.0,0.0,2.65,1.79,0.0
20150102:2300,0.0,0.0,0.0,0.0,1.16,1.86,0.0
20150103:0000,0.0,0.0,0.0,0.0,0.16,1.72,0.0
20150103:0100,0.0,0.0,0.0,0.0,-0.46,1.72,0.0
20150103:0200,0.0,0.0,0.0,0.0,-1.12,1.66,0.0
20150103:0300,0.0,0.0,0.0,0.0,-1.68,1.52,0.0
20150103:0400,0.0,0.0,0.0,0.0,-2.0,1.38,0.0
20150103:0500,0.0,0.0,0.0,0.0,-2.21,1.24,0.0
20150103:0600,0.0,0.0,0.0,0.0,-1.73,1.1,0.0
20150103:0700,0.0,0.0,0.0,0.0,-2.48,1.24,0.0
20150103:0800,0.0,0.0,0.0,0.0,-2.2,1.59,0.0
20150103:0900,0.0,0.0,0.0,0.0,-2.49,1.72,0.0
20150103:1000,0.0,0.0,0.0,0.0,-2.48,1.72,0.0
20150103:1100,0.0,0.0,0.0,0.0,-2.05,2.0,0.0
20150103:1200,0.0,0.0,0.0,0.0,-1.27,2.21,0.0
20150103:1300,0.0,1.71,0.06,4.08,-0.84,2.48,0.0
