,temp_air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,-0.22,0.0,-0.0,0.0,2.73
2021-01-01 01:00:00,-0.92,0.0,-0.0,0.0,2.64
2021-01-01 02:00:00,-1.61,0.0,-0.0,0.0,2.56
2021-01-01 03:00:00,-2.31,0.0,-0.0,0.0,2.48
2021-01-01 04:00:00,-3.01,0.0,-0.0,0.0,2.4
2021-01-01 05:00:00,-3.7,0.0,-0.0,0.0,2.32
2021-01-01 06:00:00,-4.4,0.0,-0.0,0.0,2.23
2021-01-01 07:00:00,-5.1,0.0,-0.0,0.0,2.15
2021-01-01 08:00:00,-4.04,0.0,-0.0,0.0,2.55
2021-01-01 09:00:00,-4.27,0.0,-0.0,0.0,2.41
2021-01-01 10:00:00,-4.45,0.0,-0.0,0.0,2.28
2021-01-01 11:00:00,-4.67,0.0,-0.0,0.0,2.0
2021-01-01 12:00:00,-5.03,0.0,-0.0,0.0,1.72
2021-01-01 13:00:00,-5.1,52.0,364.4,26.0,1.52
2021-01-01 14:00:00,-3.38,206.0,685.16,54.0,1.66
2021-01-01 15:00:00,-1.63,346.0,817.58,68.0,2.9
2021-01-01 16:00:00,-0.37,442.0,875.93,76.0,3.24
2021-01-01 17:00:00,0.78,482.0,895.57,79.0,3.38
2021-01-01 18:00:00,1.78,463.0,888.83,77.0,3.66
2021-01-01 19:00:00,2.92,386.0,847.29,71.0,3.86
2021-01-01 20:00:00,3.12,259.0,746.04,60.0,3.79
2021-01-01 21:00:00,2.56,103.0,514.5,38.0,3.03
2021-01-01 22:00:00,1.1,0.0,-0.0,0.0,2.76
2021-01-01 23:00:00,0.32,0.0,-0.0,0.0,2.55
2021-01-02 00:00:00,0.01,0.0,-0.0,0.0,2.55
2021-01-02 01:00:00,-0.09,0.0,-0.0,0.0,2.55
2021-01-02 02:00:00,-0.67,0.0,-0.0,0.0,2.48
2021-01-02 03:00:00,-0.87,0.0,-0.0,0.0,2.34
2021-01-02 04:00:00,-1.11,0.0,-0.0,0.0,2.14
2021-01-02 05:00:00,-1.23,0.0,-0.0,0.0,2.14
2021-01-02 06:00:00,-1.34,0.0,-0.0,0.0,2.0
2021-01-02 07:00:00,-0.99,0.0,-0.0,0.0,2.0
2021-01-02 08:00:00,-1.17,0.0,-0.0,0.0,1.86
2021-01-02 09:00:00,-1.48,0.0,-0.0,0.0,1.86
2021-01-02 10:00:00,-1.56,0.0,-0.0,0.0,1.86
2021-01-02 11:00:00,-1.87,0.0,-0.0,0.0,1.86
2021-01-02 12:00:00,-2.14,0.0,-0.0,0.0,1.79
2021-01-02 13:00:00,-2.24,32.0,84.24,26.0,1.66
2021-01-02 14:00:00,-0.11,137.0,261.23,79.0,1.52
2021-01-02 15:00:00,1.72,245.0,364.11,121.0,2.62
2021-01-02 16:00:00,2.62,319.0,396.42,153.0,2.83
2021-01-02 17:00:00,3.64,356.0,427.69,163.0,3.52
2021-01-02 18:00:00,4.18,449.0,855.71,76.0,3.45
2021-01-02 19:00:00,5.0,374.0,810.83,71.0,2.9
2021-01-02 20:00:00,5.02,221.0,587.62,63.0,2.76
2021-01-02 21:00:00,4.25,102.0,497.59,38.0,1.72
2021-01-02 22:00:00,2.65,0.0,-0.0,0.0,1.79
2021-01-02 23:00:00,1.16,0.0,-0.0,0.0,1.86
2021-01-03 00:00:00,0.16,0.0,-0.0,0.0,1.72
2021-01-03 01:00:00,-0.46,0.0,-0.0,0.0,1.72
2021-01-03 02:00:00,-1.12,0.0,-0.0,0.0,1.66
2021-01-03 03:00:00,-1.68,0.0,-0.0,0.0,1.52
2021-01-03 04:00:00,-2.0,0.0,-0.0,0.0,1.38
2021-01-03 05:00:00,-2.21,0.0,-0.0,0.0,1.24
2021-01-03 06:00:00,-1.73,0.0,-0.0,0.0,1.1
2021-01-03 07:00:00,-2.48,0.0,-0.0,0.0,1.24
2021-01-03 08:00:00,-2.2,0.0,-0.0,0.0,1.59
2021-01-03 09:00:00,-2.49,0.0,-0.0,0.0,1.72
2021-01-03 10:00:00,-2.48,0.0,-0.0,0.0,1.72
2021-01-03 11:00:00,-2.05,0.0,-0.0,0.0,2.0
2021-01-03 12:00:00,-1.27,0.0,-0.0,0.0,2.21
2021-01-03 13:00:00,-0.84,2.0,0.0,2.0,2.48
2021-01-03 14:00:00,-0.3,89.0,26.99,83.0,2.55
2021-01-03 15:00:00,-0.35,63.0,0.0,63.0,2.83
2021-01-03 16:00:00,-0.71,55.0,0.0,55.0,2.69
2021-01-03 17:00:00,-0.39,103.0,0.0,103.0,2.21
2021-01-03 18:00:00,0.09,101.0,0.0,101.0,2.28
2021-01-03 19:00:00,-0.49,86.0,0.0,86.0,2.34
2021-01-03 20:00:00,-0.35,89.0,0.0,89.0,2.55
2021-01-03 21:00:00,0.01,29.0,0.0,29.0,2.55
2021-01-03 22:00:00,0.32,0.0,-0.0,0.0,2.41
2021-01-03 23:00:00,0.65,0.0,-0.0,0.0,2.28
2021-01-04 00:00:00,1.01,0.0,-0.0,0.0,2.28
2021-01-04 01:00:00,1.39,0.0,-0.0,0.0,2.07
2021-01-04 02:00:00,1.76,0.0,-0.0,0.0,1.93
2021-01-04 03:00:00,2.14,0.0,-0.0,0.0,1.93
2021-01-04 04:00:00,2.52,0.0,-0.0,0.0,1.86
2021-01-04 05:00:00,2.85,0.0,-0.0,0.0,1.66
2021-01-04 06:00:00,3.1,0.0,-0.0,0.0,1.66
2021-01-04 07:00:00,2.55,0.0,-0.0,0.0,1.66
2021-01-04 08:00:00,2.86,0.0,-0.0,0.0,1.93
2021-01-04 09:00:00,3.23,0.0,-0.0,0.0,1.93
2021-01-04 10:00:00,3.66,0.0,-0.0,0.0,2.07
2021-01-04 11:00:00,4.36,0.0,-0.0,0.0,2.41
2021-01-04 12:00:00,5.44,0.0,-0.0,0.0,2.9
2021-01-04 13:00:00,6.32,2.0,0.0,2.0,2.83
2021-01-04 14:00:00,7.61,15.0,0.0,15.0,2.9
2021-01-04 15:00:00,8.75,20.0,0.0,20.0,3.31
2021-01-04 16:00:00,10.08,92.0,0.0,92.0,3.66
2021-01-04 17:00:00,11.2,88.0,0.0,88.0,3.72
2021-01-04 18:00:00,12.2,107.0,0.0,107.0,4.07
2021-01-04 19:00:00,10.75,95.0,0.0,95.0,3.52
2021-01-04 20:00:00,11.23,67.0,0.0,67.0,3.31
2021-01-04 21:00:00,10.8,47.0,7.49,46.0,2.69
2021-01-04 22:00:00,10.28,0.0,-0.0,0.0,2.55
2021-01-04 23:00:00,9.92,0.0,-0.0,0.0,2.97
2021-01-05 00:00:00,9.26,0.0,-0.0,0.0,3.86
2021-01-05 01:00:00,7.99,0.0,-0.0,0.0,4.48
2021-01-05 02:00:00,6.49,0.0,-0.0,0.0,4.76
2021-01-05 03:00:00,4.93,0.0,-0.0,0.0,4.97
2021-01-05 04:00:00,3.54,0.0,-0.0,0.0,4.55
2021-01-05 05:00:00,2.76,0.0,-0.0,0.0,4.76
2021-01-05 06:00:00,2.41,0.0,-0.0,0.0,4.97
2021-01-05 07:00:00,2.73,0.0,-0.0,0.0,4.97
2021-01-05 08:00:00,2.3,0.0,-0.0,0.0,4.83
2021-01-05 09:00:00,1.73,0.0,-0.0,0.0,5.03
2021-01-05 10:00:00,1.1,0.0,-0.0,0.0,4.9
2021-01-05 11:00:00,0.34,0.0,-0.0,0.0,4.76
2021-01-05 12:00:00,-0.4,0.0,-0.0,0.0,4.48
2021-01-05 13:00:00,-0.94,33.0,97.89,26.0,4.28
2021-01-05 14:00:00,-1.04,134.0,237.42,81.0,4.69
2021-01-05 15:00:00,-0.75,290.0,597.96,85.0,4.97
2021-01-05 16:00:00,-0.46,450.0,883.59,77.0,5.03
2021-01-05 17:00:00,-0.48,495.0,910.55,80.0,5.1
2021-01-05 18:00:00,-0.39,480.0,908.44,79.0,5.17
2021-01-05 19:00:00,-0.94,404.0,870.91,73.0,5.1
2021-01-05 20:00:00,-1.41,278.0,782.92,62.0,4.83
2021-01-05 21:00:00,-2.11,118.0,566.2,41.0,4.41
2021-01-05 22:00:00,-2.92,0.0,-0.0,0.0,3.59
2021-01-05 23:00:00,-3.52,0.0,-0.0,0.0,3.66
2021-01-06 00:00:00,-4.13,0.0,-0.0,0.0,3.52
2021-01-06 01:00:00,-4.53,0.0,-0.0,0.0,3.45
2021-01-06 02:00:00,-4.82,0.0,-0.0,0.0,3.17
2021-01-06 03:00:00,-5.01,0.0,-0.0,0.0,2.9
2021-01-06 04:00:00,-5.21,0.0,-0.0,0.0,2.69
2021-01-06 05:00:00,-5.43,0.0,-0.0,0.0,2.41
2021-01-06 06:00:00,-5.59,0.0,-0.0,0.0,2.0
2021-01-06 07:00:00,-6.62,0.0,-0.0,0.0,1.52
2021-01-06 08:00:00,-6.38,0.0,-0.0,0.0,1.31
2021-01-06 09:00:00,-6.15,0.0,-0.0,0.0,1.31
2021-01-06 10:00:00,-6.2,0.0,-0.0,0.0,0.83
2021-01-06 11:00:00,-6.42,0.0,-0.0,0.0,0.21
2021-01-06 12:00:00,-6.41,0.0,-0.0,0.0,0.83
2021-01-06 13:00:00,-6.26,18.0,0.0,18.0,1.24
2021-01-06 14:00:00,-5.7,56.0,0.0,56.0,1.79
2021-01-06 15:00:00,-4.93,65.0,0.0,65.0,1.79
2021-01-06 16:00:00,-4.14,84.0,0.0,84.0,1.86
2021-01-06 17:00:00,-3.3,92.0,0.0,92.0,1.86
